pH,ORP,MakeupWater,FAC,TC,CC,Temp,TA
7.4,830,!,2.72,3.52,0.8,81,0
7.4,830,!,2.52,3.64,1.12,81,0
7.3,855,!,2.32,2.87,0.55,81,0
7.3,825,!,2.74,3.64,0.9,81,0
7.5,835,!,2.8,3.5,0.7,81,0
7.5,825,!,4.06,4.83,0.77,82,0
7.4,840,!,3.04,4.01,0.97,82,0
7.4,835,!,3.48,4.74,1.26,82,0
7.3,850,!,3.05,3.9,0.85,81,0
7.4,825,!,2.78,3.7,0.92,81,0
7.5,845,!,2.8,3.8,1,81,0
7.5,835,!,2.41,2.79,0.38,81,0
7.3,845,!,2.82,3.4,0.58,82,0
7.4,850,!,1.34,2.08,0.74,82,0
7.6,850,!,1.4,2.2,0.8,81,0
7.5,830,!,1.54,2.24,0.7,82,0
7.1,850,!,3.05,!,!,81,0
7.4,830,!,2.68,3.31,0.63,82,0
7.5,830,!,3.34,4.2,0.86,82,0
7.5,825,!,3.26,4.04,0.78,82,0
7.6,805,!,2.97,3.92,0.95,82,0
7.5,835,!,3.12,4.29,1.17,82,0
7.4,835,!,3.73,4.61,0.88,81,0
7.4,830,!,1.35,!,!,81,0
7.4,830,!,2.52,3.55,1.03,81,0
7.4,835,!,1.87,!,!,82,0
7.4,830,!,1.82,2.52,0.7,82,0
7.4,830,!,1.9,2.9,1,81,0
7.4,820,!,1.56,2.44,0.88,81,0
7.4,825,!,2.14,2.6,0.46,81,0
7.4,820,!,3.08,3.98,0.9,86,0
7.4,805,4,1.86,2.86,1,86,0
7.4,830,2,2.56,4.02,1.46,85,0
7.4,800,3,2.31,2.98,0.67,85,0
7.4,825,1,2.25,2.8,0.55,85,0
7.4,825,1,3.15,4.09,0.94,84,0
7.4,810,2,2.62,3.5,0.88,86,0
7.4,815,1,1.66,2.72,1.06,!,0
7.4,810,3,1.29,2.3,1.01,80,0
7.5,825,2,2.98,3.88,0.9,86,0
7.4,825,0,3.1,3.9,0.8,80,0
7.4,820,1,1.81,2.98,1.17,85,0
7.4,825,1,2.26,3.32,1.06,85,0
7.4,820,5,2.44,3.44,1,86,0
7.4,815,3,2.1,3.8,1.7,85,0
7.4,825,5,1.5,2.6,1.1,85,0
7.4,825,0,1.2,2.8,1.6,85,0
7.5,825,2,1.96,2.86,0.9,86,0
7.4,825,0,2.42,3.61,1.19,86,0
7.4,830,10,2.6,3.46,0.86,86,0
7.4,825,0,2.46,3.59,1.13,85,0
7.3,825,1,5.19,!,!,!,0
7.4,825,2,1.71,2.66,0.95,85,0
7.4,830,3,1.2,!,!,86,0
7.4,825,0,2.13,3,0.87,85,0
7.4,810,4,1.18,!,!,86,0
7.4,!,1,3.65,4.89,1.24,86,0
7.4,!,3,,!,!,86,0
7.4,810,5,5.11,!,!,86,0
7.4,815,4,2.15,!,!,86,0
7.4,805,2,3.51,5.84,2.33,!,0
7.3,805,!,2,2.5,0.5,81,0
7.4,805,0,2,2.5,0.5,81,0
7.3,810,5.896,1.5,2,0.5,80,0
7.4,805,0,2,2.5,0.5,81,0
7.4,820,0.441,2.69,3.87,1.18,80,0
7.4,820,15.548,2.78,3.7,0.92,80,0
7.4,815,5.955,2.5,3,0.5,80,0
7.5,815,15.19,3.2,3.7,0.5,79,1
7.4,820,5.928,2.5,3,0.5,80,0
7.4,810,0.018,2.8,3.2,0.4,80,0
7.4,805,5.929,2.5,3,0.5,79,1
7.5,810,0.215,3.8,4.3,0.5,81,0
7.4,815,5.908,2.5,3,0.5,81,0
7.3,825,0.739,4,4.5,0.5,82,0
7.4,800,20.05,3,3.5,0.5,80,0
7.6,820,0.018,2.62,3.13,0.51,80,0
7.4,820,5.938,2.5,3,0.5,81,0
7.43,818,4.881,1.93,2.61,0.68,80,0
7.4,815,0.925,2,2.5,0.5,80,0
7.4,815,31.851,3,3.5,0.5,81,0
7.3,825,0.027,3,3.5,0.5,81,0
7.4,815,16.652,2.5,3,0.5,81,0
7.3,820,0.033,3,3.5,0.5,81,0
7.3,810,6.321,3,3.5,0.5,80,0
7.3,815,0.017,2.5,3,0.5,81,0
7.4,815,5.93,2.5,3,0.5,80,0
